,title,media,date,desc
42,Petrobras põe à venda toda participação nos gasodutos Brasil-Bolívia e TSB,CPG Click Petroleo e Gas,07/07/2021,Petrobras informa que a venda dos gasodutos Brasil-Bolívia e TSB está  alinhada à estratégia de otimização de portfólio da companhia. A Petrobras  anunciou em...
43,Embarcação com tanque de 90 mil metros cúbicos de oxigênio chega a Manaus,G1,07/07/2021,"Da capital paraense, o insumo seguiu em uma balsa da Petrobras por via  fluvial em uma viagem que durou oito dias e foi coordenada pela Marinha do  Brasil."
44,O discreto fim da Operação Lava Jato,Exame,07/07/2021,"... rede de propinas pagas por grandes construtoras como a Odebrecht a  políticos de quase todos os partidos, para obter contratos com a estatal  Petrobras."
45,Deltan Dallagnol admite que prisão é eficiente para forçar ...,Consultor Jurídico,07/07/2021,"Foi escrita em ""chat"" de procuradores no dia 4 de agosto de 2017. A  ""transferência"" a que ele se refere é a de Aldemir Bendine, ex-presidente  da Petrobras e do..."
46,55% das ações da Vale já estão nas mãos de estrangeiros,Poder360,07/07/2021,"... do Banco do Brasil), Funcef (funcionários da Caixa) e Petros (da  Petrobras), também pode vender parte de seus 9,8% de ações da mineradora em  2021."
47,Conversa de Deltan e Moro mostra troca de informações com ...,Poder360,07/07/2021,"Ele atuava como representante no Brasil do estaleiro Keppel Fels, que tinha  contratos com a Petrobras. Foi preso na 23ª fase da Lava Jato, em fevereiro  de..."
48,Empréstimos para MEI da IOUU e Baduk chegam a 2 mil reais,Seu Crédito Digital,07/07/2021,"Petrobras e Vale retomam trajetória de alta na Ibovespa · Bolsa Família  passa a ser pago via Caixa Tem para 3,75M de famílias..."
49,Comissários e pilotos têm ‘quartos secretos’ nos aviões; veja como eles são,CNN Brasil,07/07/2021,Pressão sob Petrobras não muda com PEC; intenção do governo é seguir com  trocas na estatal · CNN Brasil. Editoria. Ao Vivo · Eleições 2022 ·  Política...
50,"Petrobras aumenta gasolina em 8,2% e diesel em 6,2%; gás de cozinha sobe 5,1%",CNN Brasil,09/09/2021,A Petrobras anunciou que a partir da meia-noite de terça-feira (9) haverá  aumento nos preços dos três principais combustíveis vendidos pela  companhia:...
51,Petrobras sobe de novo preço da gasolina; aumento chega a 22% no ano,Exame,09/09/2021,"É a terceira vez no ano que a estatal reajusta o preço da gasolina, e a  segunda no valor do litro do diesel. Desde o início do ano, a Petrobras já  elevou em 22%..."
52,"Petrobras sobe preços do diesel, gasolina e GLP",G1,09/09/2021,"A Petrobras anunciou nesta segunda-feira (8) aumentos dos preços médios de  venda às distribuidores da gasolina, diesel e GLP, que deverá vigorar a  partir de..."
